From,To,Duration,Price
Singapore (SIN),Cairns (CNS),6:40,3771
Singapore (SIN),Sydney (SYD),7:45,1995
Cairns (CNS),Singapore (SIN),6:55,6453
Cairns (CNS),Sydney (SYD),2:55,1432
Sydney (SYD),Singapore (SIN),8:30,2421
Sydney (SYD),Cairns (CNS),3:00,1566
